date,link,text
2019-06-07 15:51,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6906947466.html,Facade / Building Envelope Architect
2019-06-07 13:03,https://newyork.craigslist.org/brx/egr/d/bronx-asst-estimator-project-manager/6906787638.html,Asst. Estimator/Project Manager
2019-06-07 12:55,https://newyork.craigslist.org/que/egr/d/architectural-designer-drafts-person/6906780055.html,ARCHITECTURAL DESIGNER / DRAFTS PERSON
2019-06-07 11:46,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6906711811.html,Architect
2019-06-07 10:17,https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-intern/6906631517.html,Architecture Intern
2019-06-06 22:24,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6906438076.html,INTERMEDIATE ARCHITECT / JOB CAPTAIN
2019-06-06 16:56,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-assistant-pm/6906239317.html,Construction Assistant PM / Superintendent
2019-06-06 15:54,https://newyork.craigslist.org/brk/egr/d/brooklyn-design-intern-at-european-home/6906187597.html,Design Intern at European Home Design Firm -summer/part time
2019-06-06 15:52,https://newyork.craigslist.org/que/egr/d/forest-hills-construction-inspector/6906185521.html,Construction Inspector (Water Main)
2019-06-06 14:56,https://newyork.craigslist.org/que/egr/d/long-island-city-architect-new-york-city/6906137025.html,ARCHITECT (New York City)
2019-06-06 11:44,https://newyork.craigslist.org/que/egr/d/flushing-construction-inspector-special/6905957964.html,Construction Inspector / Special Inspector
2019-06-06 11:26,https://newyork.craigslist.org/que/egr/d/flushing-architectural-designer/6905941781.html,Architectural Designer
2019-06-06 11:22,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6905938401.html,Structural Engineer
2019-06-06 08:02,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-metal-drafter/6905806420.html,ARCHITECTURAL METAL DRAFTER
2019-06-06 00:10,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6905732984.html,Construction Project Manager
2019-06-05 21:18,https://newyork.craigslist.org/que/egr/d/flushing-architectural-draftsperson/6905662472.html,Architectural draftsperson needed
2019-06-05 17:29,https://newyork.craigslist.org/brk/egr/d/brooklyn-special-inspector-concrete/6905512959.html,Special Inspector (Concrete)
2019-06-05 17:02,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6905492142.html,Facade / Building Envelope Architect
2019-06-05 16:12,https://newyork.craigslist.org/brk/egr/d/brooklyn-dot-dob-permit-expediter/6905449114.html,DOT/ DOB Permit expediter
2019-06-05 15:03,https://newyork.craigslist.org/mnh/egr/d/new-york-city-business-development/6905388166.html,Business Development Leader
2019-06-05 14:36,https://newyork.craigslist.org/mnh/egr/d/new-york-city-hotel-engineer-wanted/6905362794.html,Hotel Engineer wanted!
2019-06-05 12:43,https://newyork.craigslist.org/que/egr/d/brooklyn-manager-needed-for-small-busy/6905252616.html,Manager Needed for Small Busy Commercial Construction Firm
2019-06-05 11:39,https://newyork.craigslist.org/stn/egr/d/staten-island-maintenance-manger/6905189573.html,Maintenance Manger
2019-06-05 10:14,https://newyork.craigslist.org/mnh/egr/d/new-york-city-expediting-of-coordinator/6905114843.html,Expediting C of O coordinator
2019-06-05 10:11,https://newyork.craigslist.org/mnh/egr/d/brooklyn-goshow-architects-is-hiring/6905112638.html,GOSHOW ARCHITECTS IS HIRING: INTERN ARCHITECT I: ENTRY LEVEL JUNIOR
2019-06-05 08:36,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-project/6905052640.html,Construction Project Manager
2019-06-04 22:56,https://newyork.craigslist.org/wch/egr/d/monsey-interior-designer/6904941107.html,Interior Designer
2019-06-04 17:23,https://newyork.craigslist.org/mnh/egr/d/brooklyn-maintenance-engineer/6904744665.html,Maintenance Engineer
2019-06-04 17:23,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-intern/6904744045.html,Architectural Intern
2019-06-04 15:04,https://newyork.craigslist.org/stn/egr/d/howard-beach-construction-project/6904625665.html,CONSTRUCTION PROJECT MANAGER/ ESTIMATOR
2019-06-04 14:03,https://newyork.craigslist.org/lgi/egr/d/syosset-construction-manager/6904566968.html,Construction Manager
2019-06-04 13:35,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-interior-designer/6904539838.html,Junior Interior Designer
2019-06-04 13:07,https://newyork.craigslist.org/lgi/egr/d/bohemia-project-engineer/6904512644.html,Project Engineer
2019-06-04 12:00,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-engineer-position/6904446770.html,Project Engineer position
2019-06-04 11:32,https://newyork.craigslist.org/mnh/egr/d/new-york-city-high-end-residential/6904421056.html,High-End Residential Architect
2019-06-04 11:19,https://newyork.craigslist.org/mnh/egr/d/new-york-city-class-1-or-2-expeditor/6904408398.html,Class 1 or 2 Expeditor
2019-06-03 16:39,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intern-architectural/6903926550.html,Intern - Architectural / Construction Mngmnt
2019-06-03 15:23,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-draftsman-needed/6903856259.html,Junior Draftsman needed for part time work
2019-06-03 15:19,https://newyork.craigslist.org/brk/egr/d/brooklyn-nyc-dob-class-1-or-2-filing/6903851766.html,NYC DOB Class 1 or 2 Filing Representative
2019-06-03 15:14,https://newyork.craigslist.org/brk/egr/d/brooklyn-intern-in-mep-engineering/6903847863.html,Intern in M.E.P. Engineering
2019-06-03 15:10,https://newyork.craigslist.org/fct/egr/d/norwalk-interior-architectural/6903844036.html,Interior Architectural Associate with Exceptional REVIT Experience
2019-06-03 14:26,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-intermediate/6903802486.html,Junior/Intermediate Architect
2019-06-03 12:16,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/6903671511.html,Drafting/Estimating Internship
2019-06-03 10:42,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6903579945.html,EXPERIENCED ARCHITECT/ DRAFTER
2019-06-03 09:29,https://newyork.craigslist.org/mnh/egr/d/new-york-city-residential-construction/6903521239.html,Residential Construction Project Manager - Townhouse/Luxury High End
2019-06-03 08:33,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-drywall-ceilings/6903488812.html,ESTIMATOR - DRYWALL & CEILINGS
2019-06-03 02:07,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designers/6903419164.html,Mechanical Designers
2019-06-02 10:29,https://newyork.craigslist.org/brk/egr/d/brooklyn-field-super-project-coord-admin/6902894506.html,"Field Super, Project Coord, & Admin"
2019-06-01 16:22,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6902526504.html,EXPERIENCED ARCHITECT
2019-05-31 17:03,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-architecture-firm/6901818529.html,NYC Architecture Firm seeking AutoCad Draftsman
2019-05-31 16:49,https://newyork.craigslist.org/mnh/egr/d/new-york-city-healthcare-architect/6901806733.html,HealthCare Architect
2019-05-31 16:24,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost-estimator/6901785853.html,Architectural Metal Cost Estimator
2019-05-31 16:22,https://newyork.craigslist.org/mnh/egr/d/new-york-city-document-reviewer/6901783743.html,Document Reviewer
2019-05-31 16:05,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6901768477.html,Architectural Designer
2019-05-31 15:00,https://newyork.craigslist.org/mnh/egr/d/new-york-city-goshow-architects-seeks/6901708828.html,Goshow Architects seeks Project Managers to join our team in New York
2019-05-31 14:24,https://newyork.craigslist.org/mnh/egr/d/new-york-city-goshow-architects-seeks/6901674691.html,Goshow Architects seeks Project Architects to join our team in New Yor
2019-05-31 14:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-architect-1-to-5/6901652655.html,Project Architect - 1 to 5 yrs exp
2019-05-31 13:50,https://newyork.craigslist.org/lgi/egr/d/westbury-construction-inspector-civil/6901642531.html,Construction Inspector - Civil/Structural
2019-05-31 12:56,https://newyork.craigslist.org/fct/egr/d/norwalk-audocad-drafter/6901588238.html,AudoCad Drafter
2019-05-31 11:35,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-coordinator/6901507465.html,Project Coordinator / Intermediate Architect
2019-05-31 11:20,https://newyork.craigslist.org/mnh/egr/d/new-york-city-av-it-design-engineer/6901492989.html,AV/ IT Design Engineer
2019-05-31 10:32,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6901449454.html,Mechanical Engineer
2019-05-31 10:30,https://newyork.craigslist.org/mnh/egr/d/new-york-city-plumbing-fire-protection/6901448321.html,Plumbing/Fire Protection Engineer
2019-05-30 18:18,https://newyork.craigslist.org/brk/egr/d/brooklyn-pe-se-structural/6901095292.html,PE/SE (STRUCTURAL)
2019-05-30 18:12,https://newyork.craigslist.org/lgi/egr/d/albertson-survey-party-chief-instrument/6901091100.html,"Survey party Chief, Instrument Person, Rod Man"
2019-05-30 17:19,https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-intermediate-interior/6901050672.html,Junior-Intermediate Interior Designer
2019-05-30 13:25,https://newyork.craigslist.org/que/egr/d/brooklyn-estimator/6900837589.html,Estimator
2019-05-30 13:07,https://newyork.craigslist.org/que/egr/d/astoria-project-manager/6900818835.html,PROJECT MANAGER
2019-05-30 11:36,https://newyork.craigslist.org/que/egr/d/junior-estimator-lic/6900728366.html,Junior Estimator (L.I.C)
2019-05-30 11:25,https://newyork.craigslist.org/mnh/egr/d/new-york-city-product-designer/6900716940.html,Product designer Industrial developer for fitness product
2019-05-30 08:18,https://newyork.craigslist.org/wch/egr/d/new-rochelle-cad-designer/6900582161.html,CAD Designer
2019-05-29 19:52,https://newyork.craigslist.org/mnh/egr/d/new-york-city-autocad-draftperson-and/6900366441.html,AutoCad Draftperson and Assistant Architect
2019-05-29 14:28,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-draftsperson/6900093325.html,Architectural Draftsperson
2019-05-29 13:58,https://newyork.craigslist.org/stn/egr/d/staten-island-construction-site-safety/6900062782.html,Construction Site Safety Manager
2019-05-29 11:33,https://newyork.craigslist.org/que/egr/d/astoria-environmental-field-technician/6899914583.html,Environmental Field Technician
2019-05-29 11:29,https://newyork.craigslist.org/que/egr/d/astoria-environmental-project-manager/6899911833.html,Environmental Project Manager - Mid Level
2019-05-29 11:25,https://newyork.craigslist.org/que/egr/d/astoria-environmental-project-manager/6899907780.html,Environmental Project Manager - Senior Level
2019-05-29 10:20,https://newyork.craigslist.org/brk/egr/d/brooklyn-drafter-wanted-greenpoint/6899847074.html,"Drafter wanted : Greenpoint, Brooklyn"
2019-05-28 21:41,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-interior-designer/6899615177.html,Junior Interior Designer / Assistant
2019-05-28 21:31,https://newyork.craigslist.org/lgi/egr/d/westbury-construction-inspector-civil/6899609622.html,Construction Inspector - Civil/Structural
2019-05-28 18:27,https://newyork.craigslist.org/mnh/egr/d/cad-drafter-architectural-engineering/6899489556.html,Cad Drafter - Architectural/Engineering background
